x,y,z,cluster,title,id
31.45325,-13.838089,11.599214,0,'Percentage change in levels of willingness to actively engage in civic activities related to climate change and water issues in Jordan,4421
31.486423,-13.523314,11.559636,0,change in levels of willingness to actively engage in civic activities related to climate change and water issues in Jordan (Jordan Youth Climate Action Programme),5253
-8.862736,-2.3264909,-13.199085,1,Number Of Children And Adolescents’ Psychosocial Well-Being Improved Through Focused And Non-Focused Pss Activities In Cfs,65
-8.954412,-2.367633,-13.0912895,1,# Of Children Whose Psychosocial Well-Being Is Improved Through Focused And Non-Focused Pss Activities In Cfs,86
-12.320278,1.5677924,-12.501827,1,"Number of children and adolescents that have access to structured and community based MHPSS (disaggregated by age, gender and disabilities)",2924
-12.319099,1.5252843,-12.514695,1,"of children and adolescents that have access to structured and community based MHPSS (disaggregated by age, gender and disabilities).",3107
3.9992564,-3.9110422,28.99532,2,"Number of households (disaggregated by head of household characteristics) provided with WASH Hygiene kit,",1089
4.023354,-3.90979,28.97793,2,Number of households provided with WASH hygiene kits (disagregated by head of household characteristics),2208
11.520321,4.5365376,-13.748424,5,of adolescent girls and boys complete training on advocacy skills and civic/social engagement.,1041
11.517265,4.5627103,-13.780402,5,of adolescent girls and boys complete training on advocacy skills and civic/social engagement,1043
-7.345901,20.562494,-7.4717083,6,# of children accessing appropriate case management services,704
-9.036036,21.627882,-6.7514105,6,# of children with case management plans,2061
-9.671409,16.548645,-10.635582,6,# of at-risk children identified and supported through case management including individual follow up and referrals to other services.,2364
-9.696052,16.546503,-10.671701,6,of at-risk children identified and supported through case management including individual follow up and referrals to other services.,2367
-6.6169415,18.307526,-10.433066,6,"Number of children and adolescents supported with case management (disaggregated by age, gender and disability)",2919
-9.005784,21.793608,-6.7526374,6,Number of children with a case management plan,3026
-6.7178807,18.19776,-10.954022,6,"of children and adolescents supported with case management (disaggregated by age, gender and disability).",3103
-7.3399763,20.63901,-7.847741,6,# of children receiving case management services,3990
-7.4092293,20.799673,-7.219158,6,# of children accessing case management support,4452
14.170112,-24.036165,-9.867999,7,Percentage of teachers with improved knowledge and teaching capacities,2884
14.170072,-24.036121,-9.8678875,7,Percentage of teachers with Improved knowledge and teaching capacities,2901
14.0529585,-24.238075,-9.641936,7,Proportion of teachers with improved knowledge and teaching capacities,2913
-0.7409373,-0.38953483,-15.384931,8,Of Girls And Boys Registered To Participate In Recreational And Psychosocial Support,183
0.18393244,-1.4306977,-15.96731,8,"Of Children (F/M) Children, Boys And Girls Registered To Participate In Recreational And Psychosocial Support",188
-0.29067352,-2.0002496,-16.173697,8,of children (f/m) registered to participate in recreational and psychosocial support,331
-0.15689175,-1.212131,-14.99057,8,"Of children, boys and girls registered to participate in recreational and psycho-social support",373
-2.5911217,-3.7822773,-15.45098,8,"# of children (girls and boys) received psychosocial support and recreational activities in schools, community centers or child-friendly spaces",478
-3.05394,-3.3285959,-15.69571,8,Number of children girls and boys received psychosocial support and recreational activities in schools community centers or child friendly spaces,481
-2.8491704,-3.663515,-15.438033,8,"Number of children (girls and boys) received psychosocial support and recreational activities in schools, community centers or child-friendly spaces",487
-0.75811887,-1.3924402,-15.358785,8,of children (boys and girls) registered to participate in recreational and psychosocial support,1444
-0.04394091,-1.2843432,-16.151587,8,"Of children (f/m) children, boys and girls registered to participate in recreational and psychosocial support",1652
-19.944082,4.8821907,19.165178,9,of volunteers participating in four-module training on immunization and volunteerism,4323
-20.301762,5.5917253,18.998346,9,of youth participating in four-module training on immunization and volunteerism,4324
-20.047796,4.8535624,19.32908,9,of volunteers  participate in 4 training  modules on  immunization and  volunteerism,4374
-20.396557,5.610188,19.178545,9,of youth participate in  4 training modules on  immunization and  volunteerism,4375
-17.122025,3.8055432,17.8736,9,of part time  supervisors to support  municipalities for catchup vaccination (total),4398
-17.11697,3.8094382,17.877117,9,of part time  supervisors to support  municipalities for catchup vaccination (female),4399
6.8052073,13.83324,3.346785,10,"of girls, boys, women and men of community-based child protection structures trained on CP related trainings.",1147
8.095849,14.261534,1.3358089,10,# of men and women of community based child protection structures trained on CP related trainings includes PSEA,1210
7.446065,13.859877,2.106035,10,"# of girls, boys, women and men of community-based child protection structures trained on CP related trainings and PSEA",1258
8.566191,14.244843,2.1127834,10,# of women & men of community-based child protection structures trained on CP related trainings includes PSEA.,1276
8.242233,13.879282,1.6033173,10,# of men and women of community-based child protection structures trained on CP related trainings includes PSEA,2059
6.584806,12.006849,2.1170619,10,# of girls and boys of community-based protection structures trained on CP approaches (trainings include child protection/child rights/child development /organizational development and COVID 19) based on the CPSC guidelines,2152
6.7409635,11.968272,2.0014305,10,# of women and men of community-based protection structures trained on CP approaches (trainings include child protection/child rights/child development /organizational development and COVID 19) based on the CPSC guidelines,2155
6.6492896,13.92073,3.4966617,10,"of girls, boys of community-based child protection structures trained on CP related training.",2672
7.691462,14.508938,2.1471095,10,"# of girls, boys, women, and men of community-based child protection structures trained on CP related trainings include PSEA",3669
4.7604184,14.246499,1.2389375,10,Number of Child Protection and Psychosocial Support staff trained on CP approach (M/F),5050
4.7724714,14.234097,1.2302653,10,Number of Child Protection and Psychosocial Support staff trained on CP approach,5429
-0.24509485,-0.9570306,11.920985,11,# of girls / boys / women / men reached with awareness raising messages (COVID-19) include PSEA,3672
-0.21945137,-1.0367365,11.869574,11,"# of girls / boys / women / men reached with awareness raising messages on COVID 19 prevention, (CP) include PSEA",4522
-25.383383,18.618805,4.414895,12,Number Of Boys And Girls 6 59  Months Screened For Acute Malnutrition  At Community And Facility Level,26
-25.906658,20.070444,3.2557175,12,Number Of Children Aged 6-59 Months Screened For Acute Malnutrition (Hpm: N4-1),133
-25.608904,18.835165,2.110052,12,# Of Children Aged 6-59 Months Screened For Acute Malnutrition,295
-22.301027,17.623951,2.8009765,12,Number of boys and girls aged 0-6 months screened for acute malnutrition/ vulnerability on monthly basis,689
-22.266056,17.912067,2.9329457,12,Number of boys and girls aged 0-6 months screened for malnutrition vulnerability on monthly basis,740
-23.36158,17.387455,4.201432,12,2.1 Number of boys and girls aged 6-59 months screened for malnutrition,1080
-24.812544,18.2147,1.1734741,12,Number of children aged 6-59 months who are screened as active screening to identify acute malnutrition every quarter,1128
-23.931646,18.510231,5.7224035,12,Indicator 1.2 # of boys and girls 6-59 months screened for acute malnutrition,1316
-23.883219,17.006266,4.7093177,12,1.2 Number of boys and girls 6-59 months screened for Malnutrition,1336
-25.361685,15.998646,2.3122447,12,Number of children below 5 years screened for malnutrition,1610
-24.586113,17.32013,5.2595367,12,1.2	# of boys and girls 6-59 months screened for acute malnutrition,1699
-24.547613,17.799149,0.83863264,12,2.1 Number of children aged 6-59 months who are screened as active screening to identify acute malnutrition every quarter,1930
-25.18793,15.798177,2.519556,12,Number of children under-fives screened for malnutrition.,2132
-25.404324,19.135088,2.3484395,12,Number of children aged 6-59 months screened for acute malnutrition,4098
-24.307283,17.408978,3.4778364,12,Number of boys and girls 6-59 months screened for Malnutrition,4694
-24.081848,18.832434,2.2974782,12,Number of children 6-59 months screened for malnutrition in health facilities,4760
-23.82969,17.302036,2.7315974,12,# of boys and girls aged 6-59 months screened for malnutrition,4955
-23.588598,18.595991,3.9212117,12,The numbers of boys and girls aged 6-59 months screened for malnutrition,5114
-25.007225,18.033222,5.170271,12,2.2  Number of boys and girls 6-59 months screened for acute malnutrition.,5214
-23.980938,18.148315,3.221615,12,Number of boys and girls aged 6-59 months screened for malnutrition,5673
12.328515,-17.882181,8.098176,13,Number of governmental and NGO staff member trained,787
12.144439,-17.952538,7.9839387,13,Number of governmental and NGO staff member trained.,3019
11.9911,-17.953236,7.907047,13,# of governmental and NGO staff member trained.,4136
