x,y,cluster,title,id
-29.851564,12.057702,1,Social workers and child protection actors trained on providing support to vulnerable boys and girls (including boys and girls with disabilities and special needs) during emergencies (disaggregated by nationality and age and gender),469
-29.874958,12.005557,1,"Number of social workers and child protection actors trained on providing support to vulnerable boys and girls (including boys and girls with disabilities and special needs) during emergencies (disaggregated by nationality, age and gender)",484
-32.884956,14.870617,1,2.2Number of Children with developmental delays and disabilities benefited from early intervention services based on the individual service plan,1793
-32.897984,14.862359,1,2.3 Number of Children with developmental delays and disabilities benefited from early intervention services based on the individual service plan,5662
-8.099133,-26.75986,2,# girls & boys received Case Management services  included children affected by COVID,1250
-10.630754,-32.6457,2,"Number of parents / caregivers reached with prevention measures and awareness on COVID-19, information on prevention and promote of child & adolescent protection needs and GBV response",2928
-10.785444,-32.85902,2,"Number of community members  and youth reached with prevention measures and awareness on COVID-19, information on prevention and promote of child & adolescent protection needs and GBV response",2932
-7.998901,-26.739906,2,# girls & boys received Case Management services  included children affected by COVID  ( face to face or  remotely),3387
-10.864335,-32.814003,2,"Number of community members reached with prevention measures and awareness on COVID19, information on prevention and promote of child & adolescent protection needs and GBV response (disaggregated by sex)",4175
-20.099241,60.514057,3,Number of children being cared for by Caregivers,1752
-20.06793,60.507294,3,Number of Children being cared for by Caregivers/parents,1874
50.27418,-44.249367,4,Number Of Latrine Builders Trained,213
50.266563,-44.25516,4,•	Number Of Latrine Builders Trained,214
50.27409,-44.249367,4,Number of latrine builders trained,627
50.274654,-44.249836,4,Number of Latrine builders trained,668
-79.7698,-2.0803716,5,Number of 6-59-month-old children actively screened per month,1483
-79.6794,-2.2023675,5,Number of 6-59-month-old children passively screened per month,1484
-79.960304,-2.2740457,5,1.1 Number of 6-59-month-old children actively screened per month,1488
-79.647804,-2.3056955,5,1.2 Number of 6-59-month-old children passively screened per month,1548
32.981426,36.257774,6,of young people who completed skills development transitioned to employment or entrepreneurship opportunities (i.e. inclusive of seed-funding and incubation),3373
32.988064,36.23001,6,young people who completed skills development transitioned to employment or entrepreneurship opportunities (i.e. inclusive of seed-funding and incubation),3966
31.573153,38.602345,6,of adolescents and young people (ages 16-24) engaged in internship positions via Kosovo GenU platform.,4129
31.647959,38.594124,6,Number of adolescents and young people (16-24) engaged in internship positions via Kosovo Generation Unlimited (30 female),4572
40.622326,-2.757389,7,of OOSC eligible to NFE programme reached (at least twice through phone calls and/or home visits),2260
40.58784,-2.7566023,7,of OOSC eligible to NFE programme reached at least 2 times by phone calls/home visits,2285
39.691185,-6.356303,7,# of vulnerable individuals who successfully receive (2-day) foundational training,3682
39.672832,-6.3438616,7,# of vulnerable individuals who successfully receive (1-day) foundational training,3692
-3.5994124,-67.51989,8,Number of people reached with critical WASH supplies (including hygiene items and services),915
-3.604831,-67.40469,8,Number of people reached with critical WASH supplies (including hygiene items) and services,1376
-3.8827899,-67.259544,8,# Number of people reached with critical WASH supplies (including hygiene items) and services,1418
-5.895901,-68.11937,8,# Number of people reached with critical WASH supplies  (including hygiene items) and services (COVID-19 indicators).,3062
-5.7231236,-68.04073,8,Number of people reached with critical WASH supplies (including hygiene items) and services (COVID-19 indicator),3271
-5.9404864,-68.06306,8,Number of people reached with critical WASH supplies  (including hygiene items) and services (COVID-19 indicators).,3354
-3.74425,-67.49735,8,# of people reached with critical WASH supplies (including hygiene items) and services,3502
-5.775074,-68.07236,8,Number of people reached with critical WASH supplies (including hygiene items) and services (COVID-19 indicators),3921
-2.7654788,-68.55128,8,people reached with critical WASH supplies (including IEC and hygiene items),5384
-2.813364,-68.50639,8,of people reached with critical WASH supplies (including IEC and hygiene items),5389
-56.340237,-51.33239,9,# of children who are vaccinated with Penta 3,1296
-56.721832,-51.44456,9,# of children aged under 1 immunized with Penta 3,1565
-56.297894,-51.567196,9,# of children under 1 who are vaccinated with Penta 3,1602
-54.187145,-53.334526,9,"children under 1 year who received Pentavalent 3 vaccines (Boys: 447, Girls:429)",4575
-53.099957,-54.24378,9,"children under 1 year who received Polio3 vaccines (Boys: 429, Girls: 447)",4576
-59.93665,-56.241913,9,Indicator 2.2  Number of infants under 1  received BCG vaccine at birth (#boys: # girls).,4681
-57.75116,-49.038803,9,Indicator 2.3 Number of infants received Penta 3 (#boys: # girls),4682
-59.936646,-56.240967,9,Indicator 2.2 Number of infants under 1 received BCG vaccine at birth (#boys: # girls).,4685
-59.896603,-56.274555,9,Indicator 2.2. Number of infants under 1 received BCG vaccine at birth. (#boys: # girls).,4697
-57.79852,-48.98844,9,Indicator 2.3. Number of infants under 1  received Penta 3 (#boys: # girls).,4698
-53.119614,-54.241467,9,"of children under 1 year who received Polio3 vaccines (Boys: 1,625, Girls: 1,986).",4704
-54.60281,-53.539215,9,"children under 1 year who received Pentavalent 3 vaccines (Boys:1,625, Girls: 1,986).",4705
-54.93715,-53.151413,9,"1.4 	children under 1 year  received Pentavalent 3 vaccines (Boys:802 , Girls:981).",5476
-54.906322,-53.303623,9,"1.4 children under 1 year received Pentavalent 3 vaccines (Boys:500 , Girls:500)",5489
-54.56723,-52.323414,9,1.4 of children under 1 year received Pentavalent 3 vaccines,5492
-54.47796,-53.077644,9,"1.4 of children under 1 year received Pentavalent 3 vaccines (Boys:490 , girls 530)",5498
-54.027813,-52.940075,9,"1.4 of  children under 1 year received Pentavalent 3 vaccines (Boys:1390 , Girls:1472”).",5502
-54.56723,-52.323414,9,1.4  of children under 1 year received Pentavalent 3 vaccines,5504
-54.370625,-52.491943,9,1.4: of  children under 1 year received Pentavalent 3 vaccines,5506
-54.37152,-52.469162,9,1.3: of children under 1 year received Pentavalent 3 vaccines,5544
-56.7307,-51.248104,9,Number of children immunized for Penta 3,5694
-1.7032155,34.572838,12,# Of Children Reached,10
