,title,language
0,Nombre de personnes touchées par le biais de messages sur la prévention et l'accès aux services en matière de COVID-19,Language.FRENCH
1,"Nombre de personnes engagées dans la réponse au COVID-19 par le biais des actions du RCCE (leaders associatifs de migrants, religieux, influenceurs locaux, leaders féminines ou de jeunesse, agents communautaires…)",Language.FRENCH
2,Nombre de personnes partageant leurs préoccupations et posant des questions / clarifications sur les services de soutien disponibles pour répondre à leurs besoins grâce à des mécanismes de rétroaction établis,Language.FRENCH
3,"Nombre d'enfants, de parents et de professionnels de la prise en charge recevant un soutien psychosocial et de santé mentale communautaire",Language.FRENCH
4,"Nombre d'enfants migrants quel que soient leur statut migratoire et leur citoyenneté, ayant bénéficié de services de santé adaptés à leurs besoins y compris la nutrition et la prise en charge de la violence",Language.FRENCH
5,Nombre de bénéficiaires des séances d’éducation parentale pour la santé de la mère et de l’enfant,Language.FRENCH
6,"Nombre de personnes formées en RBM et procédures HACT, PSEA, GBV, e-tools",Language.FRENCH
7,Nombre de femmes notamment enceintes ayant bénéficié de service de soins y compris la nutrition et la prise en charge de la violence,Language.FRENCH
8,nombre de pairs éducateurs engage,Language.FRENCH
9,Nombre cumulé de personnes qui vivent dans les villages certifiés ODF selon le protocole national ODF,Language.FRENCH
10,"% de centres de santé, centres de nutrition certifiés une Etoile qui maintiennent leur statut Etoile",Language.FRENCH
11,Nombre d’enquête CAP initiale et finale réalisée,Language.FRENCH
12,Nombre de comites de gouvernance locale mise en place à chaque niveau,Language.FRENCH
13,Montant total de l’épargne des groupes VSLA,Language.FRENCH
14,Nombre cumulatif de personnes qui utilisent des latrines basic (améliorées et non partagées),Language.FRENCH
15,% de villages qui possède des commerces ou activités AGR à petite échelle prise en charge par le VSLA,Language.FRENCH
16,"Nombre de personnes (Hommes, Femmes, Filles, Garçons) qui a amélioré sa connaissance et attitude sur la gestion de l’hygiène menstruelle",Language.FRENCH
17,Nombre de points d’eau avec des comités de gestion fonctionnels,Language.FRENCH
18,Parmi les comités de gestion des points d’eau fonctionnels : proportion de femmes ayant des rôles exécutifs,Language.FRENCH
19,Nombre de centres de santé nouvellement certifiés une Etoile promouvant le changement de comportement et la création de demande dans les régions cibles,Language.FRENCH
20,Nombre d'écoles avec des activités de gestion de l'hygiène menstruelle mises en œuvre,Language.FRENCH
21,Nombre de nouveaux villages autoproclamés ODF selon le protocole national ODF,Language.FRENCH
22,"Nombre de personnes qui vivent dans une communauté ""water safe""",Language.FRENCH
23,Nombre de diagnostic participatifs réalisés,Language.FRENCH
24,Nombre de groupes VSLA établis,Language.FRENCH
25,Nombre cumulatif de personnes abandonnant la défécation à l'air libre,Language.FRENCH
26,Nombre cumulatif de personnes qui disposent d’installations de lavage des mains avec de l’eau et du savon/cendres,Language.FRENCH
27,Nombre de personnes qui connait et pratique le lavage des mains dans les 5 moments critique,Language.FRENCH
28,% de femmes et de filles utilisant des serviettes hygiéniques a un cout abordable,Language.FRENCH
29,Parmi les comités de gestion des points d’eau fonctionnels : proportion de femmes membres des comités,Language.FRENCH
30,"Nombre de ménages qui suivent les bonnes pratiques de transport, stockage et du traitement d'eau à domicile",Language.FRENCH
31,Nombre d’écoles nouvellement certifiées une Etoile promouvant le changement de comportement et la création de demande dans les régions cible,Language.FRENCH
32,%ge d’élèves (filles/garçons) dans les institutions nouvellement certifiées 1 Star,Language.FRENCH
33,Eif 2.2: # D’Écoles Publiques Dans Les Communautés Ciblées Dans Lesquelles Des Interventions De Changement De Comportement En Matière D'Assainissement Et D’Hygiène Sont Mises En Œuvre,Language.FRENCH
34,Eif 2.3: # D’Étudiants (Garçons/Filles) Qui Fréquentent Des Écoles Publiques Dans Les Communautés Ciblées Dans Lesquelles Des Interventions De Changement De Comportement En Matière D’Assainissement Et D’Hygiène Sont Mises En Œuvre,Language.FRENCH
35,Eif 3.1: # De Communautés Ciblées Soutenues Par Le Programme Qui Mènent Des Activités Par Rapport À L'Assainissement Géré En Toute Sécurité,Language.FRENCH
36,Eif 3.7 : # De Communautés Ciblées Soutenues Par Le Programme Qui Mènent Des Activités Pour Répondre Aux Risques Et Aux Vulnérabilités Liés Au Climat,Language.FRENCH
37,Eif 4.1: # De Communautés Ciblées Soutenues Par Le Programme Pour Établir Des Systèmes De Soutien Efficaces Pour Les Ménages Vulnérables (O),Language.FRENCH
38,Eif 4.2: # De Groupes Communautaires Mobilisés Par Le Programme,Language.FRENCH
39,EIF 2.1.a : # de personnes touchées par les campagnes de lavage des mains et de promotion du savon,Language.FRENCH
40,EIF 2.1: # de communautés ciblées dans lesquelles des interventions de changement de comportement collectif en matière d'assainissement et d’hygiène (telles que l’ATPC) sont mises en œuvre,Language.FRENCH
41,EIF 2.1.c : # de communautés touchées par des campagnes de lavage des mains et de promotion du savon,Language.FRENCH
42,EIF 2.3: # d’étudiants (garçons/filles) qui fréquentent des écoles publiques dans les communautés ciblées dans lesquelles des interventions de changement de comportement en matière d’assainissement et d’hygiène sont mises en œuvre,Language.FRENCH
43,EIF 2.5: # de communautés ciblées soutenues par le programme qui mettent en œuvre un plan d’action post-FDAL (O),Language.FRENCH
44,EIF 3.1: # de communautés ciblées soutenues par le programme qui mènent des activités par rapport à l'assainissement géré en toute sécurité,Language.FRENCH
45,EIF 3.3: # de communautés ciblées où le programme encourage les activités de promotion de l’hygiène de l’eau au niveau domestique (O),Language.FRENCH
46,EIF 3.4: # d’entrepreneurs et d'artisans locaux liés à l’assainissement et l’hygiène soutenus par le programme,Language.FRENCH
47,EIF 3.5: : # de personnes atteintes par le programme avec des messages ou des interventions sur la gestion de l'hygiène menstruelle (GHM) (O),Language.FRENCH
48,EIF 3.5 A : # de personnes formées aux approches sur la gestion de l'hygiène menstruelle (GHM) (F),Language.FRENCH
