index,title,language
0,	# Of Communities Certified Free Of Open Defecation As A Result Of Unicef And Partner Support (Leveraged/Indirect).,Language.ENGLISH
1,Number Of Primary School Educators (Teachers) Who Complete Professional Activities (Trained) On Implementing Reading Instructions,Language.ENGLISH
2,Percentage Of Teachers That Support Pre-Primary Early Reading,Language.ENGLISH
3,Number Of Education Administrators And Officials Who Complete Professional Development Activities,Language.ENGLISH
4,Percentage Of Head Teachers Who Demonstrate Essential Skills For Supervising N3 Teachers,Language.ENGLISH
5,Number Of Parents Reached On Reading Messaging And Capacity Development For Pre-Primary Children,Language.ENGLISH
6,Percentage Of Parents And Community Members Who Provide Support To Children'S Literacy Learning At Home,Language.ENGLISH
7,# Of Izu Trained On The New Thematic Modules (Dis-Aggregated By Sex),Language.ENGLISH
8,# Of District And Sector Officials Trained On The New Thematic Modules (Disaggregated By Sex),Language.ENGLISH
9,"Of Children And Teachers Who Received Essential Teaching And Learning Materials, Including Textbooks.",Language.ENGLISH
10,# Of Children Reached,Language.ENGLISH
11,Of New Children Reached Through “Life For Change” Community Education And Awareness Activities,Language.ENGLISH
12,Number Of Caregivers Reached Through Social Mobilization,Language.ENGLISH
13,"Of Children Formerly Associated With Armed Forces/Groups, And Other Vulnerable Adolescents Participating In Pss, Life Skills, And/Or Clubs/Groups At The Youth-Led Center.",Language.ENGLISH
14,Youth Center And Psychosocial Support Staff Are Trained On Pss And Lifeskills Methodologies For Children And Adolescents (25 Participants For 4-Day Training),Language.ENGLISH
15,Of Children And Adults Reached With Peace-Building & Community Diologue Actitivies,Language.ENGLISH
16,"# Of Children And Teachers Who Received Essential Teaching And Learning Materials, Including Textbooks And Other Supplementary Reading Materials In Mother Tongue And English.",Language.ENGLISH
17,# Of Ecd Caregivers Trained On  Classroom Management And Use Of Improved Ecd Kits,Language.ENGLISH
18,# Of Ecd Caregivers Provided With Monthly Incentives,Language.ENGLISH
19,# Of Teachers/Volunteers (Primary And Alp) (Not In Impact Programme) Provided With Monthly Incentives,Language.ENGLISH
20,# Newly Recruited Teachers/Volunteers (Primary And Alp) Provided With Induction On Eie And Basic Teaching Methodologies,Language.ENGLISH
21,# Of Pta Members Trained On School Management And Development And Implementation Of School Development Plans.,Language.ENGLISH
22,Number Of School Inspectors/ Supervisors Trained On Supportive Supervision And Monitoring Of Quality Education.,Language.ENGLISH
23,# Of Teachers And Education Officials Trained And Actively Involved In Providing Mentoring Services To Schools,Language.ENGLISH
24,School Children Have Pres/Cfps In Their Schools Who Train And Inform Them About Safety On A Regular And Sustainable Basis.,Language.ENGLISH
25,Vulnerable Children Have Pres/Cfps In Their Own Communities Who Can Remind Them Of Safety On A Regular And Sustainable Basis,Language.ENGLISH
26,Number Of Boys And Girls 6 59  Months Screened For Acute Malnutrition  At Community And Facility Level,Language.ENGLISH
27,Number And Proportion Of Boys And Girls Aged 6 59 Months With Severe Acute Malnutrition Without Complications Admitted For Treatment.,Language.ENGLISH
28,Number And Proportion Of Boys And Girls Aged 6-59 Months With Severe Acute Malnutrition With Complications Admitted In The Stabilization Centre,Language.ENGLISH
29,Number Of Male And Female Home Health Promoters And Moh Staffs Trained On Community Management Of Severe Acute Malnutrition As Per The Minimum Requirements Set By Moh And The Cluster Using The Approved  Cmam Guidelines For South Sudan,Language.ENGLISH
30,Number Of Male And Female Stabilization Center Staffs And Moh Staffs Trained On Management Of Sam With Complications As Per The South Sudan Sc Guidelines,Language.ENGLISH
31,"Number Of Female And Male Iycf Counsellors,Hhps And Moh  Staffs  Trained On Counselling For Miycn And Behaviour Change Communication",Language.ENGLISH
32,Number Of Female Caretakers Of Children <24 Months Who Attended Miycn Counselling Sessions (Individual And Group Counselling),Language.ENGLISH
33,Number Of Male Caretakers Of Children <24 Months Who Attended Miycn Counselling Sessions (Individual And Group Counselling),Language.ENGLISH
34,Number Of Plws Counselled On Miycn (Individual And Group),Language.ENGLISH
35,Of Water Management Committee Established And Members Trained With 50% Representation By Women.,Language.ENGLISH
36,Of School Girls Reached With Mensural Hygiene Kits,Language.ENGLISH
37,"Provide Integrated Training To 45 Primary Teachers (5F), At Least 10 From Each School And 5 Ecd Facilitators (All Female).",Language.ENGLISH
38,"Out Of School Children Or Youth Who Gain Access To Ecd, Primary, Alp Or Secondary School (Or The Non-Formal Equivalents Of Primary Or Secondary School",Language.ENGLISH
39,"Children And Teachers Who Received Essential Teaching And Learning Materials, Including Textbooks And Other Supplementary Reading Materials In Mother Tongue And English",Language.ENGLISH
40,Newly Recruited Teachers/Volunteers (Primary And Alp) Provided With Induction Training On Eie And Basic Teaching Methodologies,Language.ENGLISH
41,Primary Schools And Ecd Teachers Trained On Life-Skills And Peace Building To Build Resilience Among Conflict Affected Children,Language.ENGLISH
42,Pta Members Trained On School Management And Development And Implementation Of School Development Plans.,Language.ENGLISH
43,Teachers And Education Officials Trained And Actively Involved In Providing Mentoring Services To Schools,Language.ENGLISH
44,Teachers/Volunteers (Primary And Alp) Trained On Literacy/Numeracy And   Interactive Child Centered Multi-Level/Multi Grade Teaching Methodology,Language.ENGLISH
45,Ecd Caregivers Trained On Classroom Management And Use Of Improved Ecd Kits,Language.ENGLISH
